"","n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica","cena","kat_cenowa"
"472",2,39.98,6128,1930,0,0,"Psie Pole",244997.44,"3. drogie"
"473",2,32,7156,1980,3,10,"Fabryczna",228992,"4. bardzo drogie"
"474",4,73,4507,1980,2,10,"Fabryczna",329011,"1. bardzo tanie"
"475",3,60,5600,1988,1,10,"Fabryczna",336000,"2. tanie"
"476",4,79.1,4172,1977,4,4,"Fabryczna",330005.2,"1. bardzo tanie"
"477",2,44.1,6100,1960,0,0,"Fabryczna",269010,"3. drogie"
"478",3,63,5079,1970,2,10,"Krzyki",319977,"1. bardzo tanie"
"479",2,49,6939,2002,7,7,"Stare Miasto",340011,"4. bardzo drogie"
"480",2,57.65,16565,2013,3,3,"Stare Miasto",954972.25,"4. bardzo drogie"
"481",2,56.66,15090,2013,3,3,"Stare Miasto",854999.4,"4. bardzo drogie"
"482",2,56.59,15109,2013,3,3,"Stare Miasto",855018.31,"4. bardzo drogie"
"483",3,57,6316,1970,5,11,"Krzyki",360012,"3. drogie"
"484",2,48,6229,1970,13,15,"Srodmiescie",298992,"3. drogie"
"485",2,44.56,6620,1970,2,8,"Srodmiescie",294987.2,"3. drogie"
"486",2,53,6208,1930,4,5,"Srodmiescie",329024,"3. drogie"
"487",2,47.2,6335,1979,5,10,"Srodmiescie",299012,"3. drogie"
"488",2,48,6563,1970,0,0,"Srodmiescie",315024,"3. drogie"
"489",2,67,3716,1930,4,4,"Krzyki",248972,"1. bardzo tanie"
"490",3,48,6229,1970,2,10,"Srodmiescie",298992,"3. drogie"
"491",3,54,5926,1970,4,10,"Fabryczna",320004,"3. drogie"
"492",3,61.2,5866,2002,3,4,"Fabryczna",358999.2,"3. drogie"
"493",3,44.8,6694,1972,4,4,"Stare Miasto",299891.2,"4. bardzo drogie"
"494",3,66,4985,1935,1,1,"Krzyki",329010,"1. bardzo tanie"
"495",3,57.67,6589,1994,6,8,"Krzyki",379987.63,"3. drogie"
"496",3,65,5215,1977,3,10,"Krzyki",338975,"1. bardzo tanie"
"497",3,73.1,6826,2011,3,3,"Krzyki",498980.6,"4. bardzo drogie"
"498",3,54.8,6186,1980,1,10,"Krzyki",338992.8,"3. drogie"
"499",3,67,5522,1990,3,6,"Srodmiescie",369974,"2. tanie"
"500",3,83,5723,2009,3,3,"Krzyki",475009,"2. tanie"
"501",3,64.18,5126,1977,11,11,"Krzyki",328986.68,"1. bardzo tanie"
"502",4,86,5698,2009,3,3,"Krzyki",490028,"2. tanie"
"503",3,67,8657,2009,5,5,"Stare Miasto",580019,"4. bardzo drogie"
"504",3,56,5446,1970,0,0,"Fabryczna",304976,"2. tanie"
"505",2,49,8571,2010,1,6,"Fabryczna",419979,"4. bardzo drogie"
"506",3,63,5794,1930,3,3,"Srodmiescie",365022,"2. tanie"
"507",3,59.87,4009,1960,3,3,"Fabryczna",240018.83,"1. bardzo tanie"
"508",1,40.65,6763,1890,1,4,"Srodmiescie",274915.95,"4. bardzo drogie"
"509",1,31,7258,1970,0,0,"Stare Miasto",224998,"4. bardzo drogie"
"510",3,47,5723,1930,0,0,"Krzyki",268981,"2. tanie"
"511",3,62.5,5120,1980,9,10,"Krzyki",320000,"1. bardzo tanie"
"512",2,67,5955,2007,3,6,"Krzyki",398985,"3. drogie"
"513",1,44,6250,2001,4,8,"Psie Pole",275000,"3. drogie"
"514",2,58,11379,2009,2,2,"Stare Miasto",659982,"4. bardzo drogie"
"515",2,51,5980,2006,0,0,"Fabryczna",304980,"3. drogie"
"516",4,85,7882,2010,0,0,"Krzyki",669970,"4. bardzo drogie"
"517",2,48,6146,2006,2,6,"Krzyki",295008,"3. drogie"
"518",3,86,6628,1930,1,1,"Fabryczna",570008,"3. drogie"
"519",2,37.44,5235,1930,0,0,"Fabryczna",195998.4,"1. bardzo tanie"
"520",2,54,7963,2009,3,4,"Krzyki",430002,"4. bardzo drogie"
"521",3,64,5000,1980,1,4,"Fabryczna",320000,"1. bardzo tanie"
"522",4,63,5794,1980,3,4,"Psie Pole",365022,"2. tanie"
"523",2,48,5625,1930,1,4,"Srodmiescie",270000,"2. tanie"
